CM code,TM/CP code,Client Code,Minimum Margins (a),Cash allocated (b),Cash-Others (c),Non-cash Securities (d),Short allocation Max [a-(b+c+d), 0]
14697,14697,17PP015,0,23410.24,0,0,0,
14697,14697,09PK238,4166.4,667.05,0,0,3499.35,
14697,14697,07FD367,0,16268.13,0,0,0,
14697,14697,09CK060,0,91.06,0,0,0,
14697,14697,09GB342,0,5000,0,0,0,
14697,14697,01CFAK13,0,649.75,0,0,0,
14697,14697,07EM071,0,121102.97,0,0,0,
14697,14697,09FD209,0,0,0,33260.81,0,
14697,14697,07FTE01,0,187139.62,0,0,0,
14697,14697,07GV009,0,3643.08,0,0,0,
14697,14697,07FTE03,0,60179.52,0,0,0,
14697,14697,09PK123,4448.4,19341.26,0,0,0,
14697,14697,09GB016,4447.8,190266.34,0,0,0,
14697,14697,09GB250,0,0.01,0,0,0,
14697,14697,09GDRG01,0,510.32,0,0,0,
14697,14697,11AA038,615.2,9504.06,0,0,0,
14697,14697,03FD170,0,271535.13,0,0,0,
14697,14697,14FD027,0,412132.28,0,0,0,
14697,14697,04FD320,0,8652.62,0,0,0,
14697,14697,FDE626,12156.95,102757.35,0,368600.24,0,
14697,14697,01CF15,220.59,1055.35,0,0,0,
14697,14697,09GB352,4659.4,7882.36,0,0,0,
14697,14697,09GB339,0,5000,0,0,0,
14697,14697,07AV001,0,12250.84,0,0,0,
14697,14697,09GB368,4473.6,0,0,0,4473.6,
14697,14697,FDE554,0,5.89,0,0,0,
14697,14697,07AV014,0,33227.73,0,0,0,
14697,14697,09PK133,282,162793.73,0,0,0,
14697,14697,01SD003,0,358.02,0,0,0,
14697,14697,08AC001,0,43.94,0,0,0,
14697,14697,07FN018,2356.47,24160.58,0,637125.32,0,
14697,14697,17HS006,3299.04,17305.24,0,0,0,
14697,14697,09GDNM01,0,666.75,0,0,0,
14697,14697,09PK118,2019,14424.25,0,0,0,
14697,14697,09HS159,1210.09,2680.53,0,0,0,
14697,14697,09GB109,4166.4,0,0,0,4166.4,
14697,14697,FD542,0,13938.55,0,0,0,
14697,14697,A1BA130,0,600.44,0,0,0,
14697,14697,A1BA176,7506,36534.35,0,0,0,
14697,14697,01MJE11,0,2978460.2,0,0,0,
14697,14697,01AT048,8299.6,20206.99,0,0,0,
14697,14697,FD1005,0,5596.8,0,0,0,
14697,14697,02PK011,0,33.04,0,0,0,
14697,14697,FD343,0,514.11,0,0,0,
14697,14697,09GB013,4448,3143.24,0,0,1304.76,
14697,14697,09GB346,332.9,21366,0,0,0,
14697,14697,07FD269,0,57.7,0,0,0,
14697,14697,09GB188,2368.39,15097.32,0,0,0,
14697,14697,FD077,536772.08,3111347.35,0,0,0,
14697,14697,FD1004,0,17496737.97,0,0,0,
14697,14697,14FD227,0,45240.51,0,0,0,
14697,14697,09GB021,282,667.75,0,0,0,
14697,14697,FD703,0,3602.18,0,0,0,
14697,14697,09GB332,332.9,4160.62,0,0,0,
14697,14697,FD761,0,0,0,1465200,0,
14697,14697,07CR027,4300.8,0,0,68791.42,0,
14697,14697,09GB293,0,16085.07,0,0,0,
14697,14697,09PK128,4448.3,3107.43,0,0,1340.87,
14697,14697,07DWE51,0,14035.45,0,0,0,
14697,14697,FD700,0,0,589,0,0,
14697,14697,07CR002,0,2101.53,0,0,0,
14697,14697,FD852,0,22.05,0,0,0,
14697,14697,09GD074,4473.6,0,0,0,4473.6,
14697,14697,01SK001,0,5208.49,0,0,0,
14697,14697,09GB191,0,3080.5,0,0,0,
14697,14697,09PK132,0,36207.45,0,0,0,
14697,14697,01FK069,0,0.75,0,0,0,
14697,14697,AHM3E16,0,34928.48,0,4862.8,0,
14697,14697,11AA055,0,6640.07,0,0,0,
14697,14697,07DW090,0,0.3,0,0,0,
14697,14697,07MCE2,0,69.2,0,0,0,
14697,14697,FD346,233514.24,1361123.41,0,4416984.06,0,
14697,14697,09CK041,0,1946.31,0,0,0,
14697,14697,07CL009,0,985.08,0,0,0,
14697,14697,09GB246,0,14461.11,0,0,0,
14697,14697,01AX027,0,2128.82,0,0,0,
14697,14697,09GB005,4386.56,0,0,0,4386.56,
14697,14697,07DW009,0,1923.26,0,0,0,
14697,14697,07GV010,0,170.26,0,0,0,
14697,14697,01CB002,50355.29,0,0,270877.95,0,
14697,14697,01AT050,0,2761.19,0,0,0,
14697,14697,09CK057,0,785.28,0,0,0,
14697,14697,01AT423,0,484.49,0,0,0,
14697,14697,07FDN012,5416.13,0,0,30263.62,0,
14697,14697,FD775,5581.77,211549.2,0,0,0,
14697,14697,01AT409,5770,39997.69,0,0,0,
14697,14697,09GD044,4473.6,0,0,0,4473.6,
14697,14697,09PK102,4386.42,0,0,0,4386.42,
14697,14697,07FN061,0,0,0,7088516.64,0,
14697,14697,01AT329,0,6053.43,0,0,0,
14697,14697,09GB187,2369.43,13451.24,0,0,0,
14697,14697,AHM009,0,97798.42,0,0,0,
14697,14697,01BW022,0,16793.75,0,0,0,
